ID,Area,Interaction,Zen_Behavior,Zen_Ref,UX_Spec_Ref,XBrowser_Current,XBrowser_Task,Suggested_Files,DependsOn,Priority,Milestone,Status,Done_Criteria,Test_Steps
INT-010,Core/Tabs,真正的“切换 tab 不重载”：为每个 tab 维护独立 WebView2 实例（或池化）,Zen 切换 tab 基本即时且保留页面状态；这是“交互差距大”的根因之一。,(Zen: Firefox 多 tab 架构；Zen 只是 UI 层),docs/UX_SPEC.md §4（Tabs）,当前切换 tab 会 navigate 到 url，页面状态丢失且切换慢。,引入 TabWebContents/TabViewPool：每个 tab 绑定一个 WebView2 controller；active 时显示，inactive 时隐藏/冻结；为多 tab 做基础。,src/engine/webview2/*; src/core/TabModel.*; ui/qml/BrowserWindow.qml,,P0,M2,done,切换 tab 不触发 reload；页面滚动位置/表单状态保留（至少在同一进程生命周期内）。,打开页面滚动到中间 -> 切到其他 tab -> 切回：滚动位置仍在
INT-011,Core/Tabs,TabModel 扩展：记录 favicon/音频/加载/最后激活时间等状态,Zen tab UI 的细节依赖丰富的 tab state。,reference/zen-browser-src/desktop-dev/src/zen/zen.globals.mjs（gZen* 状态汇聚）,docs/UX_SPEC.md §4（Tabs）,TabModel 仅存 url/title/essential/groupId；UI 难以做细节。,为 TabModel 增加可选 state role（faviconUrl、isLoading、isAudioPlaying、isMuted、lastActivatedMs 等），先从 active tab 回填。,src/core/TabModel.*; src/engine/webview2/WebView2View.*,INT-010,P1,M2,done,QML 可直接绑定这些状态；状态更新不会卡 UI。,播放音频 -> TabModel 对应条目 isAudioPlaying=true
INT-012,Tabs,标签右键菜单补齐常用项（Duplicate/Copy URL/Open in Split/Move to Workspace 等）,Zen 的右键菜单更贴合垂直标签流；常用动作不必进二级界面。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs,docs/UX_SPEC.md §9（右键菜单）,目前 tab 右键菜单只有 Close/Ungroup 等少量项。,扩展 tab context menu：复制链接、复制标题、重复标签、在分屏打开、移动到工作区、新窗口等。,ui/qml/BrowserWindow.qml; src/app/main.cpp（commands）,,P2,M2,done,右键菜单覆盖高频动作；触发后状态正确且有反馈。,右键 tab -> Duplicate -> 新 tab 出现且 URL 一致
INT-013,Tabs,分组交互：拖拽到组标题即可归组；拖到空白处取消分组,拖放归组/取消分组路径短且可预期。,reference/zen-browser-src/desktop-dev/src/zen/folders/ZenFolders.mjs,docs/UX_SPEC.md §4（Tabs）,当前只能在组内排序，归组路径依赖菜单按钮。,为组标题/空白区域添加 DropArea：drop 时 setGroupIdAt；并提供视觉提示。,ui/qml/BrowserWindow.qml; src/core/BrowserController.*,,P2,M2,done,拖拽 tab 到组标题可归组；拖拽到“Tabs”空白区可取消分组。,拖拽某 tab 到 Group A 标题 -> 出现在组内；再拖到空白区 -> 回到未分组列表
INT-014,Tabs,组标题：重命名/颜色/折叠动效（渐进）,组标题可重命名；折叠/展开有轻量动效；颜色用于快速识别（可选）。,reference/zen-browser-src/desktop-dev/src/zen/folders/ZenFolder.mjs,docs/UX_SPEC.md §4（Tabs）,目前组名固定（Group N），折叠瞬时且无重命名入口。,为 TabGroupModel 增加 rename API；UI 提供双击/菜单重命名；折叠加过渡。,src/core/TabGroupModel.*; ui/qml/BrowserWindow.qml,INT-001,P2,M2,done,可重命名组；折叠/展开有过渡；状态持久化到 session.json。,重命名组 -> 重启应用 -> 组名仍存在
INT-015,Essentials,Essentials 区在侧栏收起时切换为“仅图标”并提供 tooltip,Zen 的 pinned/essential 往往在窄态更省空间。,reference/zen-browser-src/desktop-dev/src/zen/tabs/ZenPinnedTabManager.mjs,docs/UX_SPEC.md §4（Tabs）,当前 Essentials 仍显示文本，侧栏窄时拥挤。,当 sidebarWidth 小于阈值时：Essentials/Tab 项改为图标优先；title 通过 tooltip 展示。,ui/qml/BrowserWindow.qml; src/core/AppSettings.*,,P3,M3,done,侧栏窄态时信息仍可读（tooltip）；视觉更像 Zen。,把侧栏拖到很窄 -> tab 文本自动隐藏 -> hover 仍能看到完整标题
INT-016,Workspace,工作区 UI：从 ComboBox 改为 Zen 风格（列表/胶囊/图标），并支持滚动,Zen 的 Workspace 更像“可视化切换器”而非下拉框。,reference/zen-browser-src/desktop-dev/src/zen/workspaces/ZenWorkspaces.mjs,docs/UX_SPEC.md §6（Workspaces）,当前 SidebarFooter 用 ComboBox 切换工作区，交互偏“设置项”。,实现侧栏底部 workspace strip：显示名称/颜色；可滚动；点击切换；保留“+”。,ui/qml/components/SidebarFooter.qml; ui/qml/BrowserWindow.qml,,P2,M2,done,workspace 切换无需打开下拉框；切换有明确选中态。,创建 5 个 workspace -> 点击任意 workspace -> tab 列表切换正确
INT-017,Workspace,工作区切换快捷键（可配置）,Zen 用户强依赖键盘切换工作区；快捷键可配置且与 tab 快捷键不冲突。,reference/zen-browser-src/desktop-dev/src/zen/common/zen-sets.js（快捷动作入口）,docs/UX_SPEC.md §6（Workspaces）,当前仅支持菜单/ComboBox。,新增快捷键：Alt+1..9（建议）用于切换工作区；并在命令面板中可发现。,ui/qml/components/Shortcuts.qml; src/app/main.cpp（commands）,,P2,M2,done,快捷键可切换工作区且与 Ctrl+Tab 等不冲突。,创建 3 个 workspace -> Alt+2 切到第 2 个 -> UI 更新
INT-018,Workspace,工作区级 UI 状态：每个 workspace 记住侧栏宽度/展开/上次激活 tab 等,Zen 的 workspace 更像“带 UI 状态的会话集合”。,reference/zen-browser-src/desktop-dev/src/zen/workspaces/ZenWorkspaces.mjs,docs/UX_SPEC.md §6（Workspaces）,当前 AppSettings 为全局（sidebarWidth/sidebarExpanded），非 workspace 级。,将部分 UI 状态迁移到 WorkspaceModel（可先仅 sidebarWidth/sidebarExpanded）；切换 workspace 自动应用。,src/core/WorkspaceModel.*; src/core/AppSettings.*; src/core/SessionStore.*; ui/qml/BrowserWindow.qml,,P2,M2,done,切换 workspace 时侧栏状态随之变化并被保存。,Workspace A 设为窄侧栏 -> 切到 B 设为宽 -> 来回切换：宽度分别记住
INT-019,Omnibox,地址栏聚焦/全选/ESC 还原规则,Zen/主流浏览器：Ctrl+L 全选；单击默认全选或光标定位（可配置）；ESC 关闭建议或还原 URL。,(主流浏览器交互),docs/UX_SPEC.md §8（Omnibox）,当前 onActiveFocusChanged 仅关闭 popup；缺少 ESC/还原规则。,补齐：Ctrl+L 全选；点击行为可配置；ESC：先关 popup，再还原为当前 URL，最后失焦。,ui/qml/BrowserWindow.qml; ui/qml/components/Shortcuts.qml; src/core/AppSettings.*,,P1,M1,done,地址栏行为符合 UX_SPEC；不会出现“ESC 没反应/内容丢失”。,输入一半 -> ESC：恢复当前页面 URL；Ctrl+L：全选
INT-020,Omnibox,建议下拉：键盘导航（↑↓/Enter/Tab）、分组展示、匹配高亮,Zen 下拉建议更像“可操作列表”，键盘路径完整。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs（omnibox 相关）,docs/UX_SPEC.md §8（Omnibox）,当前仅实现 '>' 命令面板的简单 ListView。,实现真正的建议 popup：支持键盘导航；显示来源分组（tabs/history/bookmarks/actions）；高亮匹配子串。,ui/qml/BrowserWindow.qml; (new) src/core/OmniboxModel.*,,P1,M2,done,无需鼠标即可完成搜索/打开建议；UI 信息足够。,输入关键字 -> ↓ 选择 -> Enter 打开 -> URL 正确
INT-021,Omnibox,命令面板（>）增强：模糊搜索、显示快捷键、更多命令覆盖,Zen 命令面板可发现性强，适合作为效率入口。,reference/zen-browser-src/desktop-dev/src/zen/common/zen-sets.js,docs/UX_SPEC.md §7（Command palette）,当前 actions 为硬编码数组且数量少。,引入 CommandRegistry（C++ 或 QML 单例）：注册命令/快捷键/分组；命令面板按 query 过滤。,src/core/CommandBus.*; src/app/main.cpp; ui/qml/BrowserWindow.qml; ui/qml/components/Shortcuts.qml,,P2,M2,done,命令面板可搜索到主要功能；展示快捷键；执行后有反馈。,输入 >split -> 选中 -> Enter：分屏切换
INT-022,Menus,Web 内容区右键菜单（页面/链接/图片）,Zen/Firefox：右键菜单按上下文展示（页面/链接/图片），并提供常用动作。,(Zen: Gecko 内建；XBrowser 需自行实现/适配 WebView2),docs/UX_SPEC.md §9（右键菜单）,当前 WebView2 右键菜单未接入（或缺失），用户操作路径长。,通过 WebView2 的 context menu 事件（或禁用默认并自绘）：实现最小菜单集（后退/前进/刷新/在新标签打开/复制链接等）。,src/engine/webview2/WebView2View.*; ui/qml/BrowserWindow.qml; (new) ui/qml/components/ContextMenu.qml,,P1,M2,done,右键在页面空白处/链接处能弹出对应菜单并可用。,右键链接 -> 复制链接地址 -> 剪贴板内容正确
INT-023,SiteInfo,站点信息/权限 doorhanger：锚定地址栏左侧/站点按钮,Zen 倾向 doorhanger（非模态）+ 锚定式弹出，不打断浏览。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs,docs/UX_SPEC.md §8.4/§11（权限）,当前 sitePanelButton 仅 toast 'not implemented'。,实现 SiteInfoPanel：展示 origin/证书状态（可先简化）+ 常用权限开关入口；关闭策略 CloseOnEscape/点击外部。,ui/qml/BrowserWindow.qml; ui/qml/components/PopupManager.qml; (new) ui/qml/components/SiteInfoPanel.qml,,P1,M2,done,点击站点按钮弹出面板；关闭策略符合预期；信息不会空白。,打开 https 站点 -> 点站点按钮 -> 面板显示 origin
INT-024,Permissions,权限请求弹窗：用 doorhanger + 记忆决策（本次/永远允许/永远拒绝）,Zen/Firefox：权限请求非模态，且可持久化决策并在站点信息里可修改。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs（权限/面板联动）,docs/UX_SPEC.md §11（Permissions）,当前未处理 WebView2 权限请求；无 UI。,监听 WebView2 permission events；弹出 doorhanger；将决策写入站点权限存储；并提供撤销入口。,src/engine/webview2/WebView2View.*; (new) src/core/SitePermissionsStore.*; ui/qml/components/SiteInfoPanel.qml,INT-023,P0,M2,done,权限请求能正确提示并记录；同站点再次请求按记忆处理。,打开请求麦克风的网站 -> 弹出 doorhanger -> 选择永远拒绝 -> 刷新后不再弹
INT-025,Downloads,下载入口：工具栏图标 + badge + 非模态面板,Zen 下载通常是入口+面板，不必用模态 Dialog 打断。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs（panel 处理）,docs/UX_SPEC.md §10（Downloads）,当前用菜单打开 DownloadsDialog（模态）。,在工具栏增加下载按钮；显示 activeCount badge；点击打开非模态 panel（可复用 DownloadsDialog 内容）。,ui/qml/BrowserWindow.qml; ui/qml/components/DownloadsDialog.qml; src/core/DownloadModel.*,,P2,M2,done,下载状态可快速可见；无需模态 Dialog 也能查看/打开文件。,触发下载 -> 图标出现 badge -> 点击打开面板 -> 可 Open/Folder
INT-026,Downloads,下载完成 Toast：提供“打开文件/打开文件夹”动作按钮,Zen 的反馈偏轻量但可操作。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs（toast/panel）,docs/UX_SPEC.md §10（Downloads）,当前 toast 仅显示文案，无 action。,"在 downloadFinished 时调用 toast.showToast(message, actionLabel, actionCommand)；新增命令 open-download-file/open-download-folder。",ui/qml/BrowserWindow.qml; src/app/main.cpp; src/core/ToastController.*; src/core/DownloadModel.*,,P2,M2,done,下载完成 toast 可点击动作直接打开。,完成下载 -> toast 显示 Open -> 点击 -> 文件打开
INT-027,Toast,Toast 动效与队列体验：滑入/淡入，支持点击外部不阻塞操作,Zen toast 出现/消失更“轻”；多条消息按队列展示。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs,docs/UX_SPEC.md（提示/非阻塞）,当前 ToastHost Behavior on visible 无效（bool 动画）；出现/消失突兀。,改为对 opacity/y 做动画；visible 由 opacity==0 控制或用 states/transitions；与 reduce motion 联动。,ui/qml/components/ToastHost.qml,INT-001,P2,M2,done,toast 有平滑过渡；多条 toast 队列展示自然。,连续触发 5 次 toast -> 逐条显示且动效一致
INT-028,Overlay,OverlayHost：支持 ESC 关闭/动效/焦点管理,Zen 各类 overlay/panel 关闭路径统一（ESC/点击外部），并有动效。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs,docs/UX_SPEC.md（提示/面板）,OverlayHost 仅支持点击遮罩关闭，无 ESC/动效/焦点。,为 OverlayHost 增加 Keys.onEscapePressed；增加 opacity 动画；必要时阻止底层点击。,ui/qml/components/OverlayHost.qml,INT-001,P2,M2,done,overlay 可 ESC 关闭且有淡入淡出；关闭后焦点回到合理位置。,打开 glance overlay -> ESC -> 关闭；焦点回到主窗口
INT-029,Glance,Glance：增加“在新标签打开/固定到分屏”动作与更完整的 header,Zen Glance 常用于“预览->决定是否打开”，因此需要可操作入口。,reference/zen-browser-src/desktop-dev/src/zen/glance/ZenGlanceManager.mjs,docs/UX_SPEC.md §7（Panel/Glance 相关）,当前 Alt+点击链接会打开 overlay 预览，但 header 仅返回/关闭。,为 glance overlay header 增加按钮：Open in Tab / Open in Split；并显示目标 URL；支持 ESC 关闭。,ui/qml/BrowserWindow.qml; ui/qml/components/OverlayHost.qml; src/app/main.cpp（commands）,INT-028,P2,M2,done,glance 预览后可一键转为 tab 或分屏；关闭路径统一。,Alt+点链接 -> 预览 -> 点 Open in Tab -> 新 tab 打开该链接
INT-030,SplitView,分屏焦点与键盘：明确当前 pane，高亮边框，快捷键切换 pane,Zen 分屏会强调当前 pane（边框/高亮），并提供键盘切换。,reference/zen-browser-src/desktop-dev/src/zen/split-view/ZenViewSplitter.mjs,docs/UX_SPEC.md §5（Split view）,当前分屏存在，但 focusedPane 交互/视觉弱。,点击 pane 设为 focusedPane；用快捷键（如 Ctrl+Alt+←/→）切换；用边框高亮。,ui/qml/BrowserWindow.qml; src/core/SplitViewController.*; ui/qml/components/Shortcuts.qml,,P2,M2,done,分屏焦点清晰；键盘可切换；操作不影响导航。,开启分屏 -> 点击右侧 -> 高亮右侧 -> 快捷键切回左侧
INT-031,SplitView,分屏拖拽手柄：光标/双击复位/持久化比例,手柄可发现性强；双击复位到 50%；重启可恢复上次比例（可选）。,reference/zen-browser-src/desktop-dev/src/zen/split-view/ZenViewSplitter.mjs,docs/UX_SPEC.md §5（Split view）,当前可拖拽但无光标/复位/持久化。,为 splitHandle 设置 Qt.SizeHorCursor；双击复位 splitPos；可选：存到 settings/session。,ui/qml/BrowserWindow.qml; src/core/SessionStore.*; src/core/AppSettings.*,INT-001,P3,M3,done,手柄交互完整；分屏比例可复位且可记忆。,拖拽比例 -> 重启 -> 比例仍在（若开启持久化）
INT-032,Keyboard,补齐高频快捷键（Ctrl+Tab/Shift+Ctrl+Tab/Ctrl+Shift+T/Ctrl+R 等）,Zen/主流浏览器：高频键盘路径完整；且与命令面板可发现性联动。,(主流浏览器交互),docs/UX_SPEC.md（全局快捷键）,当前快捷键较少（Ctrl+L/T/W/B 等）。,新增快捷键映射到 commands，并实现对应行为（切换 tab、恢复关闭 tab、刷新、主页等）。,ui/qml/components/Shortcuts.qml; src/app/main.cpp; src/core/*,INT-010,P1,M2,done,常用快捷键可用且不冲突；切换 tab 快速且保留状态（依赖 INT-010）。,Ctrl+Tab 循环切换 5 个 tab：状态保持且不卡
INT-033,Accessibility,侧栏键盘导航：上下选择 tab、Enter 激活、Delete 关闭,Zen 用户常用键盘；侧栏可无鼠标完成操作。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs,docs/UX_SPEC.md §4（Tabs）,当前 ListView 默认焦点/按键行为不足。,为 tab ListView 增加 Keys 处理与 currentIndex 跟随；Delete 调用 close-tab；Enter 激活。,ui/qml/BrowserWindow.qml,,P3,M3,done,不使用鼠标也能完成 tab 选择/关闭。,聚焦侧栏 -> ↑↓ -> Enter 激活；Delete 关闭
INT-034,Polish,tooltip/标题截断：hover 显示完整 title+URL,Zen 侧栏窄态下依赖 tooltip 保持可读性。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs,docs/UX_SPEC.md §4（Tabs）,当前标题截断但无 tooltip。,为 tab delegate 增加 ToolTip，展示完整 title 与 URL（可选）。,ui/qml/BrowserWindow.qml,,P3,M3,done,标题截断时 hover 可看全信息。,把侧栏变窄 -> hover 某 tab -> tooltip 显示完整标题
INT-035,Layering,WebView2 HWND 上层弹出菜单不被遮挡,Zen 的弹出层总能覆盖页面内容；WebView2(host HWND) 下需要顶层 window。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs,docs/UX_SPEC.md（全局：层级/关闭路径）,QML Overlay/Popup 在 WebView2 HWND 上会被遮挡（sidetabs 右键/页面右键/权限提示）。,PopupManager 改为顶层 Window(Qt.Popup) 并保持 on-top；Web 右键与权限提示统一走 PopupManager。,ui/qml/components/PopupManager.qml; ui/qml/BrowserWindow.qml,,P0,M1,done,任意弹出菜单在网页区域也可见且可点击。,右键网页与侧栏 tab：菜单不被盖住
INT-036,Layering,QtQuick.Controls Popup/Dialog 在 WebView2 上层显示,Zen 的下拉/对话框不会被页面遮挡。,(Zen: Gecko 内建),docs/UX_SPEC.md（全局：层级）,omnibox 下拉/emoji picker/Dialogs 可能被 WebView2 盖住。,为 QtQuick.Controls 的 Popup/Dialog 统一设置 popupType=Popup.Window。,ui/qml/BrowserWindow.qml; ui/qml/components/*.qml,INT-035,P0,M1,done,常用下拉与对话框在网页区域也可见。,打开 Themes/Downloads/Onboarding/EmojiPicker：弹窗不被盖住
INT-037,Layering,Toast/Overlay 在 WebView2 上层显示,Zen toast/overlay 永远浮在页面之上且不抢焦点。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs,docs/UX_SPEC.md（提示/Overlay）,ToastHost/OverlayHost 已改为顶层 Window，不再被 WebView2 HWND 遮挡。,保持 ToastHost/OverlayHost 走独立 Window（toast 使用 WindowDoesNotAcceptFocus，overlay 负责焦点/ESC 关闭）。,ui/qml/components/ToastHost.qml; ui/qml/components/OverlayHost.qml,INT-035,P1,M2,done,toast/overlay 在网页区域也可见且可交互（若含按钮）。,触发 toast/打开 glance overlay：总能显示在页面之上

