ID,Area,Interaction,Zen_Behavior,Zen_Ref,UX_Spec_Ref,XBrowser_Current,XBrowser_Task,Suggested_Files,DependsOn,Priority,Milestone,Status,Done_Criteria,Test_Steps
NEXT-V5-010,Output,SourceViewer 细节：语法高亮与大文件性能,查看源代码在大页面下也不卡且易读, ,docs/UX_SPEC.md,SourceViewer 尚无高亮与行号（待实现）,SourceViewer 增加行号与基础高亮（HTML tag/attr）；对大文本使用延迟渲染或分页；支持保存到文件,ui/qml/components/SourceViewer.qml (new); ui/qml/BrowserWindow.qml,NEXT-V5-009,P3,M15,todo,打开大型页面源代码时滚动与搜索仍流畅且可另存为,打开较大网页->View Source->快速滚动与 Ctrl+F->无明显卡顿；点击 Save->生成文件；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-011,Core,缩放配置单测：序列化与回读,关键配置需可回归避免升级后缩放丢失, ,docs/UX_SPEC.md,TestAppSettings 未覆盖缩放相关字段,扩展 TestAppSettings 覆盖 defaultZoom/rememberZoomPerSite/zoomMap 的保存与回读并校验边界值,tests/TestAppSettings.cpp; src/core/AppSettings.*,NEXT-V5-003,P2,M15,done,ctest 覆盖新增用例且通过,cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-012,Meta/Process,模块验收与归档(M15 Core Browsing),每个模块完成后有可回归测试并刷新 merged, ,docs/UX_SPEC.md,M15 任务尚未归档,完成 NEXT-V5-001..011 后把对应 Status 置为 done；运行合并脚本刷新 merged CSV,reference/developing/zen_browser_next_plan_v5.csv; scripts/merge_plans.ps1,NEXT-V5-001,P0,M15,done,merged_developing 中不再包含 NEXT-V5-001..012 且 counts 更新,修改 Status->done；运行 powershell -NoProfile -ExecutionPolicy Bypass -File scripts/merge_plans.ps1 -IncludeLayout；检查 reference/zen_browser_merged_developing.csv
NEXT-V5-013,Privacy,清理浏览数据对话框（时间范围+类型）,Zen/主流浏览器提供 Clear browsing data 并支持时间范围与多类型清理, ,docs/UX_SPEC.md,当前缺少统一清理入口,在 Settings->Privacy 增加 ClearDataDialog：选择时间范围（1h/24h/7d/all）与类型（历史/cookies/cache/downloads/permissions）；确认后触发清理并 toast,ui/qml/components/SettingsDialog.qml; ui/qml/components/ClearDataDialog.qml (new); ui/qml/BrowserWindow.qml, ,P0,M16,todo,可从设置打开清理对话框并执行清理流程,访问3个站点->打开清理对话框->选择清理历史(all)->确认->HistoryPanel 为空；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-014,WebView2,清理 WebView2 缓存与 cookies（API 接入）,清理应覆盖 WebView2 profile 的缓存/cookies 等真实数据, ,docs/UX_SPEC.md,当前未接入 ClearBrowsingDataAsync,"在 WebView2View/BrowserController 增加 clearBrowsingData(kindMask,timeRange)；调用 WebView2 Profile ClearBrowsingDataAsync；暴露给 QML 并与 ClearDataDialog 串联",src/engine/webview2/WebView2View.*; src/core/BrowserController.*; ui/qml/BrowserWindow.qml,NEXT-V5-013,P0,M16,todo,清理 cookies 后重新打开站点不再处于登录态（最小可验收）,登录一个测试站点或设置 cookie->执行清理 cookies->刷新->登录态消失；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-015,Data,清理本地数据：History/Downloads/Permissions 统一清理,清理对话框除内核数据外还应清理本地 store 并保持一致, ,docs/UX_SPEC.md,各 store 独立且缺少统一清理 API,HistoryStore 增加 clearRange；DownloadModel 增加 clearAll/clearCompleted；SitePermissionsStore 增加 resetAll；ClearDataDialog 根据选项调用对应 API,src/core/HistoryStore.*; src/core/DownloadModel.*; src/core/SitePermissionsStore.*; ui/qml/components/ClearDataDialog.qml,NEXT-V5-013,P1,M16,todo,选择清理历史/下载/权限后对应面板立即为空且重启不恢复,产生历史+下载+权限记录->清理所选类型->打开面板确认为空->重启确认仍为空；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-016,WebView2,Cookie 管理：列出当前站点 cookies 并可逐条删除,Zen Site Data 面板可查看并清理 cookies, ,docs/UX_SPEC.md,当前无 cookie 列表能力,"封装 WebView2 CookieManager：getCookies(url) 返回简化列表；deleteCookie(domain,name,path)；提供 QAbstractListModel 暴露给 QML",src/engine/webview2/WebView2CookieModel.* (new); src/engine/webview2/WebView2View.*; src/app/main.cpp, ,P1,M16,todo,在 QML 中可显示 cookies 列表并能删除一条使其消失,访问会写 cookie 的站点->打开 Site Data->看到 cookies->删除一条->刷新->该 cookie 不再出现；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-017,SiteDataPanel,Site Data 面板：cookies 列表+一键清理当前站点,Zen Site Data 面板入口短且不遮挡页面, ,docs/UX_SPEC.md,当前无站点数据面板或信息不足,新增 SiteDataPanel：展示 cookie 列表与删除按钮；一键清理当前站点 cookies；与 PopupManager/OverlayHost 正确 layering,ui/qml/components/SiteDataPanel.qml (new); ui/qml/BrowserWindow.qml; ui/qml/components/PopupManager.qml; src/engine/webview2/WebView2CookieModel.* (new),NEXT-V5-016,P1,M16,todo,从地址栏站点图标可打开 Site Data 面板并完成清理,打开站点->点击站点信息->进入 Site Data->清理 cookies->刷新->登录态消失或 cookie 为空；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-018,SiteInfo,站点信息面板：安全状态+快捷入口（权限/站点数据）,Zen 点击锁形图标打开站点信息面板并管理权限/站点数据, ,docs/UX_SPEC.md,当前站点信息入口不完整或信息不足,增加 SiteInfoPanel：展示 scheme/host/安全提示；提供按钮打开 PermissionsPanel 与 SiteDataPanel；确保弹层不遮挡,ui/qml/components/SiteInfoPanel.qml (new); ui/qml/BrowserWindow.qml; ui/qml/components/PopupManager.qml,NEXT-V5-017,P1,M16,todo,点击地址栏左侧图标可打开面板并跳转到权限/站点数据,打开 https 站点->点击锁图标->显示 host 与安全提示->点击 Permissions/Site Data 按钮->对应面板打开；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-019,Permissions,权限中心增强：按类型过滤+搜索+一键重置,权限管理需要可查询与批量重置, ,docs/UX_SPEC.md,PermissionsCenter 仅列表与重置能力有限,PermissionsCenter 增加类型过滤（通知/摄像头/麦克风等）；搜索；一键重置全部站点；显示统计,ui/qml/components/PermissionsCenter.qml; src/core/SitePermissionsStore.*, ,P2,M16,todo,可按类型筛选且一键重置后列表为空,触发2种权限记录->打开权限中心->按类型筛选->重置全部->列表为空；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-020,Data,清理相关单测：History clearRange 与 Permissions resetAll,数据清理是高风险路径必须有回归测试, ,docs/UX_SPEC.md,现有单测未覆盖批量清理 API,扩展 TestHistoryStore/TestSitePermissionsStore 覆盖 clearRange/resetAll 与时间边界；确保 ctest 通过,tests/TestHistoryStore.cpp; tests/TestSitePermissionsStore.cpp; src/core/HistoryStore.*; src/core/SitePermissionsStore.*,NEXT-V5-015,P1,M16,todo,新增用例覆盖且 ctest 通过,cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-021,Meta/Process,模块验收与归档(M16 Privacy/Data Control),每个模块完成后必须可回归测试并刷新汇总, ,docs/UX_SPEC.md,M16 任务尚未归档,完成 NEXT-V5-013..020 后把 Status 置为 done；运行合并脚本刷新 merged CSV,reference/developing/zen_browser_next_plan_v5.csv; scripts/merge_plans.ps1,NEXT-V5-013,P0,M16,todo,merged_developing 中不再包含 NEXT-V5-013..021 且 areas/counts 更新,修改 Status->done；运行 powershell -NoProfile -ExecutionPolicy Bypass -File scripts/merge_plans.ps1 -IncludeLayout；检查 reference/zen_browser_merged_counts_by_area.csv
NEXT-V5-022,Data,书签：引入文件夹层级与排序,Zen 书签支持文件夹与拖拽排序且跨重启保持, ,docs/UX_SPEC.md,BookmarksStore 仅支持扁平列表（无 folder）,扩展 BookmarksStore schema：itemType(bookmark/folder)；parentId；order；提供 createFolder/rename/move/reorder；迁移旧数据,src/core/BookmarksStore.*; src/core/BookmarksFilterModel.*; tests/TestBookmarksStore.cpp, ,P0,M17,todo,可创建文件夹并把书签移动进去且重启后结构保持,收藏2个书签->创建文件夹->移动其中一个->重启->结构保持；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-023,Panels/Web,书签面板：树状视图与文件夹管理,书签管理路径短且支持展开/折叠文件夹, ,docs/UX_SPEC.md,BookmarksPanel 为简单列表（无树）,BookmarksPanel 改为 TreeView/嵌套 ListView；支持展开折叠；右键菜单：新建文件夹/重命名/删除/在新标签打开全部,ui/qml/components/BookmarksPanel.qml; ui/qml/components/ContextMenu.qml; ui/qml/components/PopupManager.qml,NEXT-V5-022,P1,M17,todo,文件夹可展开折叠且菜单操作生效不被裁剪,打开书签面板->创建文件夹->展开/折叠->右键重命名->删除；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-024,DnD,书签拖拽：排序与移动到文件夹,Zen 支持拖拽调整书签顺序与归档到文件夹, ,docs/UX_SPEC.md,书签列表不支持拖拽,BookmarksPanel 增加 Drag/Drop：同级 reorder；拖到 folder 进入；拖出返回根；更新 BookmarksStore 并持久化,ui/qml/components/BookmarksPanel.qml; src/core/BookmarksStore.*,NEXT-V5-022,P1,M17,todo,拖拽可改变顺序与父文件夹且重启后保持,新建3个书签->拖拽调整顺序->拖到文件夹->重启->顺序与层级保持；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-025,Data,书签导入导出：HTML（Netscape Bookmark File）,主流浏览器支持从 HTML 导入导出书签便于迁移, ,docs/UX_SPEC.md,无导入导出能力,BookmarksStore 实现 exportToHtml/importFromHtml；支持 folder；解析常见 HTML；单测覆盖 roundtrip 与错误处理,src/core/BookmarksStore.*; tests/TestBookmarksStore.cpp,NEXT-V5-022,P2,M17,todo,TestBookmarksStore 覆盖 import/export roundtrip 且 ctest 通过,cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-026,Settings,书签导入导出入口：Settings/Bookmarks,迁移路径短：导入导出入口在书签或设置内, ,docs/UX_SPEC.md,无 UI 入口,在 SettingsDialog 增加 Bookmarks 区块：Import/Export 按钮；使用 FileDialog 选择路径；展示错误 toast,ui/qml/components/SettingsDialog.qml; ui/qml/components/BookmarksPanel.qml; ui/qml/BrowserWindow.qml,NEXT-V5-025,P2,M17,todo,可从设置导入导出并在 UI 中看到变化,打开 Settings->Bookmarks->Export->生成文件；删除一个书签->Import->书签恢复；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-027,Data,书签单测：folder/move/import/export,数据层需可回归避免重构回归, ,docs/UX_SPEC.md,TestBookmarksStore 覆盖不足,扩展 TestBookmarksStore 覆盖：folder create/rename/move；reorder；HTML import/export；错误场景,tests/TestBookmarksStore.cpp; src/core/BookmarksStore.*,NEXT-V5-025,P1,M17,todo,新增用例覆盖且 ctest 通过,cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-028,Data,历史：按域名/时间过滤与导出 CSV,历史管理需要搜索过滤与可导出便于诊断迁移, ,docs/UX_SPEC.md,HistoryStore 缺少导出与批量删除,"HistoryStore 增加 query(domain,range,limit)；exportToCsv(path,range)；支持删除单条与按域名批量删除",src/core/HistoryStore.*; tests/TestHistoryStore.cpp, ,P1,M17,todo,可导出 CSV 且包含 title/url/time 且删除 API 生效,运行单测覆盖导出与删除；手动访问3站点后在 HistoryPanel 验证删除生效；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-029,Panels/Web,历史面板：搜索+分组+右键删除/复制,Zen 历史按天分组且可快速搜索与清理, ,docs/UX_SPEC.md,HistoryPanel 仅支持简单列表与清理能力有限,HistoryPanel 增加搜索框；按天分组；条目右键菜单：Open/Copy URL/Delete；支持多选批量删除,ui/qml/components/HistoryPanel.qml; ui/qml/components/ContextMenu.qml; src/core/HistoryFilterModel.*,NEXT-V5-028,P1,M17,todo,搜索可过滤并可删除单条/多条且 UI 不被裁剪,产生历史记录->打开历史面板->搜索关键字->右键删除一条->刷新页面->该条不再出现；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-030,Data,历史单测：query/export/delete,历史是核心数据必须可回归, ,docs/UX_SPEC.md,TestHistoryStore 未覆盖导出与批量删除,扩展 TestHistoryStore：覆盖 query domain/range；exportToCsv 输出内容；deleteByDomain 与 deleteEntry,tests/TestHistoryStore.cpp; src/core/HistoryStore.*,NEXT-V5-028,P1,M17,todo,ctest 覆盖新增用例且通过,cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-031,Meta/Process,模块验收与归档(M17 Bookmarks/History Pro),模块完成后刷新汇总与统计, ,docs/UX_SPEC.md,M17 任务尚未归档,完成 NEXT-V5-022..030 后把 Status 置为 done；运行合并脚本刷新 merged CSV,reference/developing/zen_browser_next_plan_v5.csv; scripts/merge_plans.ps1,NEXT-V5-022,P0,M17,todo,merged_developing 中不再包含 NEXT-V5-022..031 且 areas/counts 更新,修改 Status->done；运行 powershell -NoProfile -ExecutionPolicy Bypass -File scripts/merge_plans.ps1 -IncludeLayout；检查 reference/zen_browser_merged_developed.csv
NEXT-V5-032,Downloads,下载持久化：跨重启保留列表与状态,主流浏览器下载列表可跨会话查看并支持打开位置, ,docs/UX_SPEC.md,DownloadModel 仅内存态且重启丢失,设计 downloads.json schema（id/url/path/state/bytes/finishedAt）；DownloadModel load/save；预留 version 便于迁移,src/core/DownloadModel.*; src/core/AppPaths.*; tests/TestDownloadModel.cpp, ,P1,M18,todo,重启后下载列表仍在且已完成项状态正确,完成一个下载->关闭/重启->打开下载面板->仍可见且可 open folder；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-033,Downloads,下载面板增强：分组/搜索/批量清理,下载管理路径短：完成/进行中分组且可快速清理, ,docs/UX_SPEC.md,DownloadsDialog 信息密度与操作不足,DownloadsDialog 增加分组（In progress/Completed/Failed）；搜索；批量清理 completed；显示速度/ETA（可选）,ui/qml/components/DownloadsDialog.qml; src/core/DownloadModel.*,NEXT-V5-032,P2,M18,todo,可搜索下载项并一键清理 completed 且不影响进行中,产生>=3条下载（至少1完成）->打开下载面板->搜索->清理 completed->仅进行中保留；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-034,Downloads,下载动作补齐：Pause/Resume/Cancel/Open/Open Folder/Copy URL,Zen 下载项动作齐全且不需要额外页面, ,docs/UX_SPEC.md,下载项动作不完整,DownloadModel 增加对应 invokable；DownloadsDialog 增加按钮与右键菜单；失败显示原因与重试,src/core/DownloadModel.*; ui/qml/components/DownloadsDialog.qml; ui/qml/components/ContextMenu.qml,NEXT-V5-032,P1,M18,todo,下载项可暂停/继续/取消且 Open/Open Folder 可用,开始一个大文件下载->暂停->继续->完成->Open Folder；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-035,Toast,下载通知：开始/完成/失败 toast 与工具栏 badge,下载完成提示不阻塞并可一键打开文件夹, ,docs/UX_SPEC.md,缺少明确下载通知,badge 显示进行中数量；完成 toast 提供 Open Folder；失败 toast 提供 Retry；确保 overlay 不遮挡,ui/qml/BrowserWindow.qml; ui/qml/components/ToastHost.qml; src/core/DownloadModel.*,NEXT-V5-032,P2,M18,todo,下载完成时出现 toast 且点击可打开文件夹,完成一个下载->出现 toast->点击 Open Folder->资源管理器打开；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-036,NativeUtils,打开文件/文件夹：统一 ShellExecute 封装,打开下载文件与目录应稳定且路径带空格可用, ,docs/UX_SPEC.md,打开路径逻辑分散且错误处理不一致,新增 NativeUtils.openPath/openFolder；Downloads/Bookmarks/Diagnostics 复用；处理错误 toast,src/platform/windows/NativeUtils.* (new); src/app/main.cpp; ui/qml/BrowserWindow.qml, ,P3,M18,todo,openPath/openFolder 在路径含空格时可用且失败有提示,用含空格的临时目录下载文件->Open Folder->成功；将路径设为不存在->提示错误；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-037,Downloads,下载持久化单测与回归,下载数据是用户资产必须可回归, ,docs/UX_SPEC.md,TestDownloadModel 未覆盖 save/load,扩展 TestDownloadModel 覆盖：保存后回读；completed/failed 状态；清理 completed；schema version,tests/TestDownloadModel.cpp; src/core/DownloadModel.*,NEXT-V5-032,P1,M18,todo,ctest 覆盖新增用例且通过,cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-038,Meta/Process,模块验收与归档(M18 Downloads Pro),模块完成后刷新汇总, ,docs/UX_SPEC.md,M18 任务尚未归档,完成 NEXT-V5-032..037 后把 Status 置为 done；运行合并脚本刷新 merged CSV,reference/developing/zen_browser_next_plan_v5.csv; scripts/merge_plans.ps1,NEXT-V5-032,P0,M18,todo,merged_developing 中不再包含 NEXT-V5-032..038 且 counts 更新,修改 Status->done；运行 powershell -NoProfile -ExecutionPolicy Bypass -File scripts/merge_plans.ps1 -IncludeLayout；检查 reference/zen_browser_merged_counts_by_area.csv
NEXT-V5-039,Tabs,Tab Group 折叠/展开并持久化,Zen 的 group/folder 可折叠减少噪音且状态可预期, ,docs/UX_SPEC.md,TabGroupModel 无折叠状态,TabGroupModel 增加 collapsed 字段与 setCollapsed；SessionStore 保存/恢复；侧栏 group header 点击切换,src/core/TabGroupModel.*; src/core/SessionStore.*; ui/qml/BrowserWindow.qml; tests/TestSessionStore.cpp, ,P1,M19,todo,折叠后组内 tab 隐藏且重启后折叠状态保持,创建一个 group 并放入2个 tab->点击 header 折叠->重启->仍折叠；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-040,Tabs,侧栏 group header 交互细节：hover/右键/多选不退化,Zen 的 group header 有清晰可点区域且右键菜单路径短, ,docs/UX_SPEC.md,group header 交互细节不足,group header 增加右键菜单：Rename/Delete/Collapse All/Expand All；保证 PopupManager 不裁剪；多选时批量动作一致,ui/qml/BrowserWindow.qml; ui/qml/components/ContextMenu.qml; ui/qml/components/PopupManager.qml,NEXT-V5-039,P2,M19,todo,右键菜单完整可见且批量操作不崩溃,右键 group header->Rename->生效；右键->Collapse All->所有组折叠；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-041,Tabs,Recently Closed：列表+菜单+恢复策略,Zen 提供最近关闭列表与 Ctrl+Shift+T 恢复且顺序可预期, ,docs/UX_SPEC.md,仅支持恢复最后一个 tab 或无列表,BrowserController 维护最近关闭栈（含 title/url/workspaceId）；菜单显示最近 10 个并可点击恢复；支持清空列表；持久化到 SessionStore,src/core/BrowserController.*; src/core/SessionStore.*; ui/qml/BrowserWindow.qml; tests/TestSessionStore.cpp, ,P1,M19,todo,可从菜单恢复任意一条最近关闭记录且重启后列表仍在,关闭3个 tab->打开菜单->看到 3 条->点击第2条恢复->重启->列表仍有剩余；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-042,Windows,Move Tab to New Window 与 Move Tab to Workspace,Zen 支持把 tab 移到新窗口或其它 workspace 便于整理, ,docs/UX_SPEC.md,缺少跨窗口/跨 workspace 移动入口,Tab 右键菜单增加：Move to New Window（启动新进程并打开 url）；Move to Workspace（选择目标 workspace）；移动后原处关闭并保持历史,ui/qml/BrowserWindow.qml; src/app/main.cpp; src/core/WorkspaceModel.*; src/core/TabModel.*, ,P2,M19,todo,可把当前 tab 移到新窗口或其它 workspace 且不会丢失,右键 tab->Move to New Window->新窗口打开同 url；右键 tab->Move to Workspace->切换 workspace 验证；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-043,Workspaces,Workspace 管理器：重命名/排序/删除/复制,Zen Workspaces 管理路径短且支持整理, ,docs/UX_SPEC.md,WorkspaceModel 仅支持新增与切换,新增 WorkspaceManagerDialog：列出 workspaces；rename/reorder/delete/duplicate；删除时迁移 tabs 到默认 workspace；持久化,ui/qml/components/WorkspaceManagerDialog.qml (new); ui/qml/BrowserWindow.qml; src/core/WorkspaceModel.*; tests/TestWorkspaceModel.cpp, ,P1,M19,todo,可在对话框中重命名/排序并重启保持；删除 workspace 不崩溃且 tabs 合理处理,新建2个 workspace->打开管理器->重命名并排序->重启->保持；删除一个->tabs 迁移到默认；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-044,WebView2,捕获网页预览图：CapturePreview API 暴露给 QML,Zen 的 tab hover/preview 需要稳定的缩略图来源, ,docs/UX_SPEC.md,当前无 tab 缩略图能力,"WebView2View 实现 capturePreview(width,height)->QImage/PNG file；提供异步回调与节流；失败返回空",src/engine/webview2/WebView2View.*; src/app/main.cpp, ,P2,M19,todo,可捕获当前页面预览并在 QML Image 显示,打开网页->触发 capturePreview->看到缩略图；重复触发不崩溃；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
